subject,size,hashtag,RL,total_fix_dur_avr,total_fix_count_avr,account_fix_dur_avr,account_fix_count_avr,logo_fix_dur_avr,logo_fix_count_avr,pic_fix_dur_avr,pic_fix_count_avr,text_fix_dur_avr,text_fix_count_avr,sac_amp_avr,total_fix_dur,total_fix_count,account_fix_dur,account_fix_count,logo_fix_dur,logo _fix_count,pic_fix_dur,pic_fix_count,text_fix_dur,text_fix_count,trial count,ad_recog,brand,purch_intent,eWOM,purchase
1,small,no,l,8.33,31.33,0.29,1.67,0.00,0.00,1.43,5.33,16,19562,3.92,6520.67,23.67,24979.32,94,874,5,0,0,4291,71,3.00,6.67,4.00,3.92,4.22,4.00
1,small,no,r,8.69,32.00,0.06,0.33,0.11,0.33,2.91,11.33,34,16747,3.98,5582.33,19.67,26066.69,96,168,1,315,1,8734,59,3.00,6,4.33,4.75,4.78,5.67
1,small,yes,l,7.99,31.67,0.45,1.33,0.13,0.33,1.82,7.67,23,16767,4.06,5589.00,22.33,23959.90,95,1350,4,393,1,5450,67,3.00,5.67,4.33,4.25,4.33,4.67
1,small,yes,r,8.10,32.00,0.06,0.33,0.00,0.00,2.17,8.67,26,17505,3.44,5835.00,22.67,24312.09,96,173,1,0,0,6507,68,3.00,5.67,4.33,4.33,4.78,5.33
1,large,no,l,8.09,33.67,0.14,0.67,0.65,2.67,2.21,8.33,25,14784,5.02,4928.00,21.00,24267.98,101,421,2,1935,8,6642,63,3.00,6.33,4.00,3.50,3.89,3.67
1,large,no,r,8.33,30.33,0.15,0.67,0.10,0.33,2.57,8.00,24,16308,4.18,5436.00,21.00,24982.06,91,458,2,305,1,7723,63,3.00,6,4.67,4.75,4.89,5.00
1,large,yes,l,8.63,30.67,0.00,0.00,0.16,1.00,2.03,7.00,21,19039,3.23,6346.33,22.33,25889.82,92,0,0,465,3,6086,67,3.00,6,4.33,4.00,4.22,4.33
1,large,yes,r,8.21,34.50,0.41,1.50,0.10,0.50,1.40,6.00,12,12503,3.78,6251.50,26.00,16413.19,69,821,3,195,1,2793,52,2.00,6,5.00,5.00,5.33,5.50
2,small,no,l,8.06,34.00,0.00,0.00,0.00,0.00,2.89,11.67,35,15533,4.31,5177.67,22.33,24190.08,102,0,0,0,0,8657,67,3.00,5.67,4.33,4.33,4.33,4.33
2,small,no,r,8.80,32.00,0.14,0.67,0.24,1.33,3.61,10.33,31,14446,4.71,4815.33,19.67,26408.96,96,431,2,706,4,10826,59,3.00,6.67,6.33,6.33,6.33,6.33
2,small,yes,l,8.97,33.33,0.10,0.33,0.00,0.00,2.84,9.33,28,18087,4.40,6029.00,23.67,26922.10,100,310,1,0,0,8525,71,3.00,6,5.00,5.17,5.11,5.33
2,small,yes,r,8.86,33.33,0.34,1.33,0.29,1.33,2.75,8.33,25,16433,5.17,5477.67,22.33,26573.95,100,1031,4,856,4,8254,67,3.00,5.33,5.00,5.00,5.00,5.00
