size,hashtag,RL,trial count,total_fix_dur_avr,total fix_count_avr,account_fix_dur_avr,account_fix_count_avr,logo_fix_dur_avr,logo_fix_count_avr,pic_fix_dur_avr,pic_fix_count_avr,total fixation duration,total fixation count,fix.dur account,"fix.count account ",fix.dur logo,fix.count logo,fix.dur picture,fix.count picture,fix.dur text,"fix.dur text average","fix.count text average",fix.count text,"sac.amplitude trial average"
s,low,l,3.00,8326.44,31.33,291.33,1.67,0.00,0.00,1430.33,5.33,6520.67,23.67,24979.32,94,874,5,0,0,4291,16,19562,71,3.92
s,low,r,3.00,8688.90,32.00,56.00,0.33,105.00,0.33,2911.33,11.33,5582.33,19.67,26066.69,96,168,1,315,1,8734,34,16747,59,3.98
s,high,l,3.00,7986.63,31.67,450.00,1.33,131.00,0.33,1816.67,7.67,5589.00,22.33,23959.90,95,1350,4,393,1,5450,23,16767,67,4.06
s,high,r,3.00,8104.03,32.00,57.67,0.33,0.00,0.00,2169.00,8.67,5835.00,22.67,24312.09,96,173,1,0,0,6507,26,17505,68,3.44
b,low,l,3.00,8089.33,33.67,140.33,0.67,645.00,2.67,2214.00,8.33,4928.00,21.00,24267.98,101,421,2,1935,8,6642,25,14784,63,5.02
b,low,r,3.00,8327.35,30.33,152.67,0.67,101.67,0.33,2574.33,8.00,5436.00,21.00,24982.06,91,458,2,305,1,7723,24,16308,63,4.18
b,high,l,3.00,8629.94,30.67,0.00,0.00,155.00,1.00,2028.67,7.00,6346.33,22.33,25889.82,92,0,0,465,3,6086,21,19039,67,3.23
b,high,r,2.00,8206.60,34.50,410.50,1.50,97.50,0.50,1396.50,6.00,6251.50,26.00,16413.19,69,821,3,195,1,2793,12,12503,52,3.78
s,low,l,3.00,8063.36,34.00,0.00,0.00,0.00,0.00,2885.67,11.67,5177.67,22.33,24190.08,102,0,0,0,0,8657,35,15533,67,4.31
s,low,r,3.00,8802.99,32.00,143.67,0.67,235.33,1.33,3608.67,10.33,4815.33,19.67,26408.96,96,431,2,706,4,10826,31,14446,59,4.71
s,high,l,3.00,8974.03,33.33,103.33,0.33,0.00,0.00,2841.67,9.33,6029.00,23.67,26922.10,100,310,1,0,0,8525,28,18087,71,4.40
s,high,r,3.00,8857.98,33.33,343.67,1.33,285.33,1.33,2751.33,8.33,5477.67,22.33,26573.95,100,1031,4,856,4,8254,25,16433,67,5.17
b,low,l,3.00,8714.99,36.00,0.00,0.00,200.67,1.00,1640.33,4.67,6874.00,30.33,26144.97,108,0,0,602,3,4921,14,20622,91,3.66
b,low,r,3.00,8911.98,31.67,124.67,0.33,350.00,1.33,3980.00,12.33,4457.33,17.67,26735.95,95,374,1,1050,4,11940,37,13372,53,4.68
b,high,l,3.00,8549.76,32.00,698.67,2.00,320.00,2.00,3097.67,9.00,4433.33,19.00,25649.27,96,2096,6,960,6,9293,27,13300,57,4.44
b,high,r,2.00,8711.04,32.00,748.00,2.50,906.50,3.00,2371.50,7.00,4685.00,19.50,17422.08,64,1496,5,1813,6,4743,14,9370,39,3.90
s,low,l,3.00,9176.37,28.33,0.00,0.00,0.00,0.00,3622.33,9.00,5243.67,18.00,27529.12,85,0,0,0,0,10867,27,15731,54,3.90
s,low,r,3.00,7452.67,21.00,0.00,0.00,0.00,0.00,4176.00,9.33,2906.00,10.67,22358.00,63,0,0,0,0,12528,28,8718,32,4.28
s,high,l,3.00,9305.37,24.33,105.67,0.33,0.00,0.00,3142.67,8.00,6057.00,16.00,27916.12,73,317,1,0,0,9428,24,18171,48,3.92
s,high,r,3.00,8895.75,30.67,0.00,0.00,0.00,0.00,3220.33,9.67,5675.33,21.00,26687.26,92,0,0,0,0,9661,29,17026,63,3.40
b,low,l,3.00,9125.66,28.00,0.00,0.00,93.33,0.33,3577.00,8.67,5329.67,18.33,27376.98,84,0,0,280,1,10731,26,15989,55,3.69
b,low,r,3.00,8897.59,30.00,0.00,0.00,447.33,2.00,3603.33,10.00,4847.00,18.00,26692.78,90,0,0,1342,6,10810,30,14541,54,4.00
b,high,l,3.00,9330.32,22.33,0.00,0.00,0.00,0.00,4799.00,8.67,3991.67,12.00,27990.95,67,0,0,0,0,14397,26,11975,36,4.05
b,high,r,2.00,8591.55,27.50,0.00,0.00,205.00,1.00,1376.00,4.00,6761.00,19.50,17183.10,55,0,0,410,2,2752,8,13522,39,3.62
s,low,l,3.00,8717.60,35.67,223.33,1.00,0.00,0.00,3115.33,10.00,5379.00,24.67,26152.79,107,670,3,0,0,9346,30,16137,74,3.79
s,low,r,3.00,8734.65,35.67,0.00,0.00,66.33,0.33,3694.00,14.33,4974.33,21.00,26203.96,107,0,0,199,1,11082,43,14923,63,3.56
s,high,l,3.00,8563.95,34.33,348.33,1.33,0.00,0.00,3641.00,14.33,5807.00,18.67,25691.84,103,1045,4,0,0,10923,43,17421,56,3.53
s,high,r,3.00,8459.65,33.33,0.00,0.00,0.00,0.00,4474.33,14.67,3959.33,18.67,25378.96,100,0,0,0,0,13423,44,11878,56,3.62
b,low,l,3.00,8210.99,36.00,30.33,0.33,277.33,1.67,4419.67,18.33,3393.67,15.67,24632.96,108,91,1,832,5,13259,55,10181,47,4.62
b,low,r,3.00,8576.06,35.67,48.67,0.33,231.33,1.33,3274.00,14.00,5022.00,20.00,25728.17,107,146,1,694,4,9822,42,15066,60,3.57
b,high,l,3.00,8855.34,35.67,0.00,0.00,101.67,0.67,3475.33,13.67,5278.33,21.33,26566.01,107,0,0,305,2,10426,41,15835,64,2.63
b,high,r,2.00,8646.01,32.50,0.00,0.00,301.50,1.50,4217.50,13.50,4127.00,17.50,17292.02,65,0,0,603,3,8435,27,8254,35,3.94
s,low,l,3.00,8199.98,36.33,171.67,0.67,0.00,0.00,2202.67,9.00,5495.00,25.33,24599.94,109,515,2,0,0,6608,27,16485,76,4.21
s,low,r,3.00,8388.70,35.67,109.00,0.67,246.67,1.00,2702.00,10.67,5260.00,23.00,25166.11,107,327,2,740,3,8106,32,15780,69,4.37
s,high,l,3.00,8517.03,35.00,0.00,0.00,0.00,0.00,1894.67,7.00,6622.33,28.00,25551.09,105,0,0,0,0,5684,21,19867,84,3.61
s,high,r,3.00,8376.24,32.67,102.33,0.33,0.00,0.00,3163.00,10.33,4684.00,20.33,25128.71,98,307,1,0,0,9489,31,14052,61,4.11
b,low,l,3.00,8237.72,36.33,187.33,1.00,986.33,3.33,2071.67,8.00,4879.33,23.67,24713.15,109,562,3,2959,10,6215,24,14638,71,3.59
b,low,r,3.00,8397.27,36.33,93.67,0.33,283.33,1.33,2120.33,8.67,5549.33,24.67,25191.82,109,281,1,850,4,6361,26,16648,74,3.79
b,high,l,3.00,8371.67,33.67,0.00,0.00,1136.67,4.67,2403.33,8.67,4831.67,20.33,25115.02,101,0,0,3410,14,7210,26,14495,61,2.90
b,high,r,2.00,8414.46,39.00,0.00,0.00,625.00,2.00,2315.00,8.50,5474.50,28.50,16828.92,78,0,0,1250,4,4630,17,10949,57,3.74
s,low,l,3.00,8615.80,36.33,0.00,0.00,0.00,0.00,3117.33,12.33,5043.67,21.67,25847.41,109,0,0,0,0,9352,37,15131,65,4.51
s,low,r,3.00,7415.64,29.67,0.00,0.00,138.33,0.67,2763.33,10.00,4417.00,18.67,22246.92,89,0,0,415,2,8290,30,13251,56,3.73
s,high,l,3.00,8600.99,31.00,361.33,1.33,0.00,0.00,2675.67,10.00,4905.33,18.00,25802.97,93,1084,4,0,0,8027,30,14716,54,2.97
s,high,r,3.00,8713.38,35.00,37.33,0.33,129.00,0.33,2268.00,8.67,6003.33,24.33,26140.14,105,112,1,387,1,6804,26,18010,73,3.43
b,low,l,3.00,7644.07,34.00,38.00,0.33,294.33,1.67,1765.67,8.00,5285.67,22.67,22932.20,102,114,1,883,5,5297,24,15857,68,2.93
b,low,r,3.00,8381.04,34.00,0.00,0.00,363.33,2.33,4392.33,16.00,3585.67,15.33,25143.11,102,0,0,1090,7,13177,48,10757,46,3.57
b,high,l,3.00,7953.62,33.67,44.67,0.33,647.67,3.33,2464.33,11.00,3860.33,15.67,23860.87,101,134,1,1943,10,7393,33,11581,47,2.92
b,high,r,2.00,8678.88,32.00,0.00,0.00,247.00,1.00,3088.00,10.00,5344.00,21.00,17357.76,64,0,0,494,2,6176,20,10688,42,3.68
s,low,l,3.00,8126.58,34.67,338.00,1.00,0.00,0.00,1433.67,6.00,6335.00,27.67,24379.74,104,1014,3,0,0,4301,18,19005,83,3.34
s,low,r,3.00,8734.03,34.67,257.00,1.33,331.00,1.33,2770.67,9.33,5281.00,22.33,26202.10,104,771,4,993,4,8312,28,15843,67,3.71
s,high,l,3.00,8288.27,31.67,0.00,0.00,0.00,0.00,2389.33,8.67,5899.00,23.00,24864.81,95,0,0,0,0,7168,26,17697,69,3.23
s,high,r,3.00,8428.09,35.67,0.00,0.00,0.00,0.00,1817.67,7.00,6610.33,28.67,25284.28,107,0,0,0,0,5453,21,19831,86,3.23
b,low,l,3.00,8306.35,35.33,0.00,0.00,395.00,2.00,1393.67,6.00,6517.67,27.33,24919.06,106,0,0,1185,6,4181,18,19553,82,3.59
b,low,r,3.00,8216.66,36.00,0.00,0.00,232.67,1.67,1331.67,6.33,6652.33,28.00,24649.99,108,0,0,698,5,3995,19,19957,84,3.58
b,high,l,3.00,8165.98,36.00,0.00,0.00,244.00,1.67,302.00,1.33,7620.00,33.00,24497.95,108,0,0,732,5,906,4,22860,99,2.33
b,high,r,2.00,8440.56,36.00,184.50,0.50,0.00,0.00,713.00,4.00,7543.00,31.50,16881.12,72,369,1,0,0,1426,8,15086,63,3.20
s,low,l,3.00,8206.34,36.67,390.33,1.67,0.00,0.00,2803.67,10.67,5012.33,24.33,24619.01,110,1171,5,0,0,8411,32,15037,73,3.86
s,low,r,3.00,8442.06,37.00,0.00,0.00,61.33,0.33,2430.00,10.00,5905.67,26.33,25326.17,111,0,0,184,1,7290,30,17717,79,3.01
