,maximizer,saticeficer,
,6.67,7,
,6,6.5,
,5.67,6,
,5.67,7,
,6.33,7,
,6,7,
,6,6.5,
,6,7,
,5.67,6.67,
,6.67,6.33,
,6,6.33,
,5.33,6,
,6.33,6.5,
,6.33,6,
,6,6.33,
,7,6,
,5,5.67,
,4.67,5.33,
,5,4.67,
,5,6,
,5.67,6.5,
,4.33,4.67,
,5.33,6,
,5,7,
,6.33,4,
,6.67,5.67,
,6.33,5.5,
,6.33,5,
,6.33,4.5,
,6.67,5.5,
,7,5.5,
,6.5,6,
,2,4.67,
,5.33,3.67,
,4.67,5.67,
,5.67,6.67,
,5,6,
,6,7,
,6.67,5.5,
,6.5,6,
,5.67,5,
,6.33,5,
,7,5,
,6.67,4,
,6.33,7,
,6,7,
,7,7,
,7,6.33,
,4.33,6.67,
,4.67,7,
,3,6.67,
,4.33,7,
,5.67,7,
,5,7,
,3.33,7,
,4,7,
,5.67,6.33,
,5,7,
,5.33,4.33,
,5,4.5,
,6.5,7,
,4.67,5.67,
,2.67,4.33,
,2.5,5.33,
,4.67,5.33,
,5.33,4,
,6.67,4.33,
,5.33,5,
,5.67,4,
,5.67,5,
,6,5.67,
,5.5,6,
,5.33,6,
,5,5.67,
,6,5.33,
,6.67,5.67,
,7,6,
,6.33,,
,6.67,,
,6.5,,
,5.5,,
,5,,
,3.5,,
,5.33,,
,4.33,,
,3.33,,
,5,,
,4,,
,4.33,,
,6,,
,5.67,,
,5.67,,
,5.33,,
,5.67,,
,6,,
,5.5,,
